Area,Capability,Apple,Android,Assessment,Apple evidence,Android evidence,Action
Playback,Platform player route,AVPlayer full-chrome route,Media3/ExoPlayer fallback route,Near parity,AVPlayerEngine.swift,ExoPlayerEngine.kt,Capability differences must be explicit
Playback,Dolby Vision/HDR handling,Strong AVPlayer native-DV/remux path plus mpv,Media3/mpv device-dependent routes,Partial/device-dependent,PlayerEngineRouter/AVPlayerEngine,player router/config,Maintain device matrix
Playback,Audio/subtitle track selection and external subtitles,Implemented,Implemented; Exo extensionless URL gap,Near parity,AVPlayerEngine/MPV player,ExoPlayerEngine/MpvPlayer,P1 bug
Playback,"Subtitle delay, audio delay and output policy",Full on mpv; AVPlayer has route-specific no-ops,Full on mpv; Exo has more no-ops,Route-specific parity,PlayerEngine capability code,PlayerEngine/ExoPlayerEngine,Expose capability model
Playback,Chapters,AVPlayer metadata and mpv support,mpv support; Exo chiefly ID3,Android fallback behind,AVPlayerEngine,ExoPlayerEngine/MpvPlayer,
Playback,Frame capture and community trickplay,Implemented on AVPlayer and mpv routes,"Primarily mpv; direct-surface capture unverified, Exo limited",Android behind,AVPlayerEngine/MPV controller,MpvPlayer/ExoPlayerEngine,P1/P2
Playback,Picture in Picture,Implemented,Implemented,Parity,AVPlayerEngine PiP,PlayerPip.kt,
Playback,AirPlay / Google Cast,AirPlay/system route,Google Cast manager,Platform-equivalent,AVPlayer route,cast/CastManager.kt,
Playback,Skip intro/credits/community skip and autoplay flow,Implemented,Implemented,Broad parity,Skip/community/player code,skip/* and PlayerScreen,
Playback,Offline playback progress identity,PlaybackMeta preserves title identity,Known gap: local Playable can use stale session identity,Android materially behind,DownloadManager + player context,DownloadsScreen/TvDownloadsScreen,P0
Downloads,Direct/debrid file downloads,Implemented,Implemented,Parity with durability issues,DownloadManager.swift,downloads/*,Fix stores on both
Downloads,Offline HLS,iPhone/iPad only; unavailable tvOS/macOS,Not implemented,Android behind; Apple platform-limited,AVAssetDownloadTask path,DownloadManager.kt,P1
Downloads,Season/batch download,Implemented on iOS,Not implemented,Android behind,iOSBatchDownloadCoordinator.swift,No equivalent,P1/P2
Downloads,Auto-delete watched downloads,Implemented and profile-aware,Preference only; behavior not wired,Android behind,DownloadManager.swift,DownloadManager.kt,P1
Downloads,"Queue, reorder and concurrency control",Implemented but has preflight/retry invariant bugs; HLS bypasses cap,Implemented through WorkManager/store,Near parity with Apple correctness gaps,DownloadManager.swift,downloads/*,P0/P1
TV integration,Home-screen Continue Watching,Top Shelf,Android TV Watch Next/Play Next,Platform-equivalent,TopShelf snapshot code,tv/WatchNextPublisher.kt,
Notifications,New episode alerts,Implemented,Implemented with WorkManager,Parity,NewEpisodeNotifications Apple path,notifications/NewEpisodeNotifications.kt,
Navigation,Deep links into title/playback,Implemented,Implemented,Broad parity,Apple URL/deep-link handlers,deeplink/* and WatchNext intents,
Updater,In-app update discovery/install,Implemented through Apple distribution paths,"Implemented, but URL/digest trust needs hardening",Functionally present; Android risk,Apple update code/workflow,update/UpdateChecker.kt,P1 security
